Cover Letter,Job Description,Linked Resume
"Amy Chan
111-789-3456
amy.chan@email.com
August 20, 2019
Dear Hiring Manager,
I am interested in the listed position of medical records clerk at Centurion Medical. Working in the medical records department at a hospital like yours is a great opportunity as I work toward a nursing degree with evening classes at St. Helena University. Learning about how the medical records department works will be a step toward understanding how to best take care of patients with various conditions throughout the duration of their illness or injury.
I have worked in the medical records departments at two other hospitals, each with a slightly different way of doing things. Learning various methods to do the same job has made me more flexible and open to new ideas. Comparing these systems allowed me, in my last job, to suggest changes in record formatting that reduced paperwork errors by 20% over the first year of implementation.
In addition to my previous work at other hospitals, I have worked as a volunteer for Habitat for Humanity in the field as well as doing work for Doctors Without Borders as a virtual assistant. With each opportunity, I learned to organize my time and to work well with many types of people. Those experiences also taught me how medical treatment differs and how to merge methods and ideas based on a patient's belief system.
I look forward to discussing my experience further with you at your earliest convenience. I believe that I can be a great asset to maintaining your hospital's sterling reputation for quality of care. My nursing education coupled with my professional and volunteer histories offer a unique perspective to medical recordkeeping. I would be honored to share my ideas on how to maintain and improve upon your record keeping systems.
Sincerely,
Amy Chan",The medical records clerk will be responsible for organizing and maintaining the medical records of the patients at the hospital. The clerk will work with the nursing staff to ensure that the records are accurate and up to date. The clerk will also work with the doctors and other medical staff to ensure that the records are complete and accurate. The clerk will also be responsible for keeping the records confidential and keeping them safe from unauthorized access.,"Amy Chan
Medical Records Clerk

-3 years of experience working in medical records departments in hospitals
-Able to work well with other staff members and doctors to ensure accuracy of records
-Confidential and able to keep records safe from unauthorized access
-Nursing degree from St. Helena University"
"Jax Sampson
(111) 789-3456
jax.sampson@email.com
April 19, 2019
Dear Hiring Manager,
It gives me great joy to have the opportunity to become the COO of Centurion Medical Research. I believe that with my drive, energy, superior organizational abilities and charisma, I can be a great COO for Centurion and ensure that it runs like a well-oiled machine. It would be a challenge, a privilege and an extraordinary opportunity for personal growth to be able to take charge of the day-to-day operations of such an important company — all things that appeal to me enormously and that will inspire me to do the best job that I can possibly do to help Centurion thrive.
In my life, I have been a serial entrepreneur. I have started multiple companies and have had to obsess over each and every aspect of their inner workings in order to nurture them into a good financial position. As such, I intimately recognize the importance of effective management. I know what makes a good manager, and I can embody those qualities. I can communicate plans and objectives, oversee projects and inspire employees in all parts of a company to be the best that they can be. Also, I understand that, sometimes, apparently small problems or inefficiencies in a company's operations can prove fatal over the long run if not addressed properly.
In addition to my entrepreneurial experience, I have also held various high-ranking executive positions at Innovation Medical Technologies. This not only gave me a close familiarity with the minutiae of the medical research business but also showed me the importance of establishing good communication with the company's CEO and other top executives. With this experience, I am motivated to be a capable COO.
Thank you for your time and consideration. I know that one way or another, countless companies live and die by the ways in which they handle their day-to-day operations. This is the bread and butter of any enterprise. It would be my honor to serve as COO of Centurion Medical Research and shoulder the supreme responsibility of ensuring that the company is on a path to success.
Sincerely,
Jax Sampson","The candidate should have extensive experience in entrepreneurship and executive management in order to be considered for the position of COO at Centurion Medical Research. The candidate should have a proven track record in running a successful business and be able to demonstrate their superior organizational abilities. In addition, the candidate should have excellent communication skills and be able to inspire employees to achieve their best.","Jax Sampson
111 789 3456
jax.sampson@email.com

Objective:

To obtain the position of COO at Centurion Medical Research, where I can utilize my extensive experience in entrepreneurship and executive management to help the company succeed.

Skills:

- Extensive experience in entrepreneurship and executive management
- Proven track record in running a successful business
- Superior organizational abilities
- Excellent communication skills
- Ability to inspire employees to achieve their best

Experience:

- Serial entrepreneur, with experience in starting multiple companies
- Intimate knowledge of the inner workings of a company and what it takes to make it successful
- High-ranking executive at Innovation Medical Technologies, where I gained close familiarity with the medical research business and the importance of good communication with the CEO and other top executives"
"Jax Sampson
(111) 789-3456
jax.sampson@email.com
August 19, 2019
Dear Hiring Manager,
I am eager to learn everything there is about the Food Service Manager position for Crossover Software, the leader in software and technology systems. My specialty is to customize food menus for the food goals and budgets of my employer. I will work with you directly to determine the right ingredients, vendors and menu items for your team to ensure they remain productive, happy and healthy without breaking the bank.
My previous employer, Flagship Engineering, was a wonderful opportunity to fine-tune my food service managerial skills. I managed a food budget of $2.5 million annually for both daily food service and special company events. My services would feed an average of 815 people each day and over 2,000 per event. It was also my responsibility to select vendors, manage food staff and to provide customized meeting food service for elite guests.
During my previous position, I was tasked with the goal of cutting food costs by 12%, reducing food waste by 50% and creating a menu that incorporated healthier items that employees would actually eat. My aggressive initiatives resulted in reducing food costs by 14% and food waste by 62%.
Thank you for your time and consideration regarding the Food Service Manager position. I have been working diligently to create new menu items that reduce the use of meat without compromising flavors and nutrients that can be a significant asset to the productivity and health of your employees. I also strive to continue to learn new cooking techniques and methods to incorporate fresh fruits and vegetables as often as possible in new and exciting ways.
Sincerely,
Jax Sampson","The Food Service Manager will be responsible for overseeing all aspects of food service operations for the company. This includes menu development, food budgeting, vendor management, food staff supervision, and event catering. The ideal candidate will have experience managing a food service operation of similar size and scope, and will have a proven track record of reducing food costs and waste. They should also be creative and innovative in their approach to menu development, with a focus on healthy and sustainable ingredients.","Jax Sampson
(111) 789-3456
jax.sampson@email.com

 food service management experience
 experience overseeing all aspects of food service operations, including menu development, food budgeting, vendor management, food staff supervision, and event catering
 proven track record of reducing food costs and waste
 creative and innovative approach to menu development, with a focus on healthy and sustainable ingredients"
"Hector Silva
(111) 789-3456
hector.silva@email.com
January 1, 2019
Dear Hiring Manager,
I am very happy to apply for the position of Plumber at Flagship Company. I look forward to being a part of a company where I can apply my years of experience and skills in plumbing services and repair to help optimize home systems in our community. I am especially eager to be considered for a position at a company that has been recognized with the Plumbing Company Customer Satisfaction Award for the past 18 years for its high-quality customer service. I am committed to bringing the same dedication to helping others.
I have over 10 years' experience in working with residential plumbing systems. I also possess a state residential plumbing license as well as a Master Plumbing license in the state. My commercial experience for the past five years includes new construction as well as remodel projects. I am an extremely self-motivated individual who needs very little close supervision to perform the necessary plumbing activities to get a job completed. I am also well-versed in making general repairs that are related to a variety of root plumbing issues.
As a Plumber with my current employer, Centurion Plumbing, my daily job duties have included performing routine maintenance on residential and commercial plumbing systems, such as drain cleaning, emergency repairs and inspections to identify problems. Additionally, I prepared proposals and parts lists based on state-required codes, and I interpreted blueprints and building specifications for laying out pipes and drainage systems. I take pride in having received supervisory recognition for my knowledge in choosing the correct plumbing material to perform the job efficiently and effectively for consistent customer satisfaction.
Thank you for your time and consideration for the Plumber position at Flagship Company. I look forward to meeting you and becoming a positive addition to the company.
Sincerely,
Hector Silva","The Plumber position at Flagship Company requires an individual with over 10 years of experience in residential plumbing systems, as well as a state residential plumbing license and a Master Plumbing license in the state. The individual must be self-motivated and able to work with little close supervision, as well as be able to interpret blueprints and building specifications. Additionally, the Plumber will be responsible for performing routine maintenance, emergency repairs, and inspections, as well as preparing proposals and parts lists based on state-required codes.","Hector Silva
(111) 789-3456
hector.silva@email.com

Objective

To secure a position as a Plumber with Flagship Company that will utilize my over 10 years of experience in residential plumbing systems, state residential plumbing license, and Master Plumbing license.

Skills

• Over 10 years of experience in residential plumbing systems
• State residential plumbing license
• Master Plumbing license
• Self-motivated
• Able to work with little close supervision
• Able to interpret blueprints and building specifications
• Perform routine maintenance
• Perform emergency repairs
• Prepare proposals and parts lists based on state-required codes

Experience

Plumber
Centurion Plumbing, January 2010-Present
• Perform routine maintenance on residential and commercial plumbing systems, such as drain cleaning, emergency repairs and inspections to identify problems
• Prepare proposals and parts lists based on state-required codes, and interpret blueprints and building specifications for laying out pipes and drainage systems
• Take pride in having received supervisory recognition for my knowledge in choosing the correct plumbing material to perform the job efficiently and effectively for consistent customer satisfaction

Education

State Residential Plumbing License
Master Plumbing License"
"Amy Chan
111-789-3456
amy.chan@email.com
August 20, 2019
Dear Hiring Manager,
In my search for meaningful employment in health care, I have investigated areas that allow me some degree of flexibility. I believe that your position of Field Technician at Centurion Medical offers just that. My previous work as a Field Technician has taught me many things not only in health care but in dealing with IT issues and working with all kinds of people.
My experience as a Field Technician was with Flagiship Enterprises, a company that retrieved patient medical records for the purpose of insurance company auditing. My job was to travel throughout my state, going to medical offices and hospitals to retrieve the requested records via flash drive and upload them to the company at the end of the day. My efficiency scores in past two years were at 94% and 97%.
There are still some doctors who use paper charts. In those cases, I would copy the needed information and then scan and upload it to my office. As a Field Technician, I used different software programs that are made especially for EMRs. With medical fraud becoming so prevalent, programs are getting harder to crack, which means they're safer for patient information. Staff would often get nervous about me being in their files, but I was able to reassure them that I was there to help prevent fraud.
As a field technician for Centurion Medical, not only would I bring knowledge with me, but I would enjoy learning the ways your company teaches its Field Technicians in order to do the job your way. My main goal would be to do my job as quickly and efficiently as I could while helping the staff feel at ease. Thank you for your time and consideration.
Sincerely,
Amy Chan","The Field Technician position at Centurion Medical is a field-based position responsible for retrieving and uploading patient medical records for the purpose of insurance company auditing. The Field Technician will use different software programs that are made especially for EMRs, and will copy and scan information from paper charts as needed. The Field Technician will maintain high efficiency scores and will provide excellent customer service to staff members.","Amy Chan
Field Technician

Summary

Amy Chan is a Field Technician with experience in retrieving and uploading patient medical records for insurance company auditing. She is skilled in using different software programs for EMRs, and is also able to copy and scan information from paper charts. Amy has maintained high efficiency scores in her previous work, and is excellent at providing customer service to staff members."
"Hector Silva
(111) 789-3456
hector.silva@email.com
August 5, 2019
Dear Hiring Manager,
I am delighted to be applying for the position of Economist at Innovation Advertising. As someone with an analytical mind and a keen eye for quantitative data, I think I can truly bring something important to your company. Having my finger on the pulse of the markets and digging through information to try and discern upcoming trends is a combination of science and art that has always had great intellectual appeal to me. I simply love the way that data can line up and crystallize into a solid case for what the future might hold. It is that passion that I think will make me a useful member of Innovation Advertising's team as you seek to advise your clients.
During my previous role as an economic analyst for Flagship Financial Services, I analyzed reams of quantitative data and wrote reports in which I made recommendations to clients about likely trends in securities markets, performing both fundamental and technical analysis on various financial instruments. I am thus comfortable using advanced mathematical techniques to extract clues about the future of the economy from data of all types.
My experience has also shown me that there is an element of art and gut instinct to effective economic forecasting. My former team and I were able to increase the average profitability of our clients' investment portfolios by 20% on a year-over-year basis. I look forward to bringing my analytical acumen to Innovation Advertising to give your clients similar — or even greater — success.
I am grateful for your time and consideration, and I am excited to learn more about just what my responsibilities would be as an economist on Innovation's team. Market trends can often be quite obscure. Helping clients anticipate what is coming and more effectively modify and market their products, which in turn would only make their customers better able to get what they want, is already quite rewarding work on its own. I would be honored to lend my abilities to your firm.
Sincerely,
Hector Silva",Innovation Advertising is looking for an Economist to join our team. The Economist will be responsible for analyzing quantitative data and writing reports to advise clients about likely trends in securities markets. The ideal candidate will have experience performing both fundamental and technical analysis on various financial instruments and be able to increase the average profitability of our clients' investment portfolios.,"Hector Silva
(111) 789-3456
hector.silva@email.com

Experience

Flagship Financial Services, Economic Analyst
-Analyzed quantitative data and wrote reports advising clients about likely trends in securities markets
-Performed fundamental and technical analysis on various financial instruments
-Increased the average profitability of clients' investment portfolios by 20% on a year-over-year basis

Skills

-Analytical acumen
-Ability to extract clues about the future of the economy from data of all types
-Element of art and gut instinct to effective economic forecasting"
"Jax Sampson
(111) 789-3456
jax.sampson@email.com
February 25, 2019
Dear Hiring Manager,
I am delighted for this opportunity to apply for the position of Benefits Specialist at Clearwater University. I am passionate about providing real and valuable help to all personnel that request information, and I take pride in keeping all records accurate and up-to-date. An efficient human resource department depends on everyone working together to coordinate employee data, and I am able to contribute substantially to these efforts.
As a Benefits Specialist with Foundry Marketing, I was responsible for handling records requests, 401k concerns, unpaid leave requests, new hires and other human resource tasks. I worked alongside a highly competent team, and our company had an employee-retention average rate of 97% over the last five years, largely as a result of our efficient HR department. I am equally comfortable working alongside a team and working alone, and I give full attention to all my efforts.
I am familiar with multiple software programs that are commonly used to streamline all HR tasks and concerns. I am proficient with Microsoft Excel, Word and Publisher. I also can compose and run SQL queries for databases. I am highly organized and am a competent communicator, and I understand the importance of prioritizing tasks. I feel confident that I can be an asset to any department that manages personnel issues.
Thank you for consideration of my application for the position of Benefits Specialist. I am delighted at the prospect of learning more details about this position and about the overall mission of Clearwater University. I enjoy providing productive assistance to the people I work with, and I love learning new skills from others.
Sincerely,
Jax Sampson","The Benefits Specialist will be responsible for handling records requests, 401k concerns, unpaid leave requests, new hires and other human resource tasks. They will work alongside a highly competent team and will be responsible for maintaining an efficient human resource department. The Benefits Specialist will be familiar with multiple software programs that are commonly used to streamline all HR tasks and concerns and will be proficient with Microsoft Excel, Word and Publisher. They will also be able to compose and run SQL queries for databases. They will be highly organized and a competent communicator, and will understand the importance of prioritizing tasks.","Jax Sampson
(111) 789-3456
jax.sampson@email.com

Objective

To secure a position as a Benefits Specialist where I can utilize my experience in handling records requests, 401k concerns, unpaid leave requests, new hires and other human resource tasks.

Experience

Benefits Specialist, Foundry Marketing
-Responsible for handling records requests, 401k concerns, unpaid leave requests, new hires and other human resource tasks
-Worked alongside a highly competent team
-Company had an employee-retention average rate of 97% over the last five years

Skills

-Familiar with multiple software programs that are commonly used to streamline all HR tasks and concerns
-Proficient with Microsoft Excel, Word and Publisher
-Able to compose and run SQL queries for databases
-Highly organized
-Competent communicator
-Understands the importance of prioritizing tasks

Education

B.S. in Human Resources Management, XYZ University"
"Hector Silva
(111) 789-3456
hector.silva@email.com
July 18, 2019
Dear Hiring Manager,
I am greatly excited at the prospect of becoming a Maintenance Technician at Foundry Construction Corp. I've always enjoyed working with my hands, building things, repairing them, taking them apart and putting them back together again. I'm familiar with the workings of all kinds of mechanical and electronic devices likely to be found in most buildings, such as air conditioners, refrigerators, radiators, heating systems, microwaves, stoves, plumbing systems and more. My mechanical inclinations make me an excellent fit for this position. Working for Foundry would not only be an excellent opportunity for me to be of service to people who need a handyman, but it would also allow me to do something that I quite simply enjoy doing anyway.
My prior work experience involves me being a plumber and Maintenance Technician for different companies. It is in part through working with so many different devices that I acquired my broad base of mechanical knowledge. However, I have an excellent mechanical intuition as well, which allows me to quickly figure out the inner workings of devices, even those I'm not familiar with.
I also have a fair amount of management and organizational experience under my belt. When working at Centurion Landscaping and Carpentry, I oversaw a small team of workers, and it was my responsibility to communicate with them, delegate tasks to them all and oversee each project as it was progressing.
Thank you for your time and consideration. I would be honored to put my skills and inquisitive mind to work for you and become a trusted member of your team at Foundry Construction. As we move ahead through the hiring process, I look forward to proving that I can be trusted to ensure the devices and buildings that clients ask me to examine remain in good working order.
Sincerely,
Hector Silva","The Maintenance Technician will be responsible for inspecting, repairing, and maintaining a variety of mechanical and electronic devices in commercial and residential buildings. The ideal candidate will have experience working with a variety of devices, as well as strong management and organizational skills. The Maintenance Technician will be responsible for communicating with clients, delegating tasks to workers, and overseeing projects from start to finish.","Hector Silva
(111) 789-3456
hector.silva@email.com

Summary:

Maintenance Technician with over 10 years of experience in inspecting, repairing, and maintaining a variety of mechanical and electronic devices in commercial and residential buildings. Skilled in working with a variety of devices, as well as strong management and organizational skills. Communicates effectively with clients, delegates tasks to workers, and oversees projects from start to finish.

Experience:

Maintenance Technician
Foundry Construction Corp, July 2019 – Present
Inspect, repair, and maintain a variety of mechanical and electronic devices in commercial and residential buildings.

Maintenance Technician
Centurion Landscaping and Carpentry, January 2010 – June 2019
Inspect, repair, and maintain a variety of mechanical and electronic devices in commercial and residential buildings.

Skills:

Strong management and organizational skills
Excellent communication skills
Delegation
Problem solving

Education:

High School Diploma, 2010"
"Jensen Pope
(111) 789-3456
jensenpope@email.com
August 20, 2019
Dear Hiring Manager,
I'm excited to apply for the position of Prep Cook at Crossover Kitchen. Delicious food is a lifestyle to me, and I would love the opportunity to do the prep work for sumptuous dishes and sweet treats. I'm accustomed to working at a quick pace while also paying attention to details. I've worked as a prep cook at other restaurants, so I know how important it is to get all preparation done within the allotted time frame while also not wasting ingredients. I would be thrilled to bring my skills and passion to Crossover Kitchen.
In my previous role as prep cook at Flagship Feast, I learned about food safety and the importance of sanitizing the prep table before starting work and between prepping different types of food. I also learned about the safety techniques used when dicing large quantities of vegetables, and I utilize all those valuable skills I learned to this day.
Throughout my time at Flagship Feast, I learned about other roles within a full-service restaurant because I actually worked other positions during my employment there too. I started as a dishwasher and held that position for three months. Then I learned more about the front of the house by working as a busboy for five months. I also went on to learn the hosting duties. This makes me a well-rounded employee who can chip in where needed on very short notice.
I would be pleased to talk to you in person about this position, and I want to thank you for your time in considering me. Continuing to learn and share my passion for beautiful and tasty foods with others is of utmost importance to me. If hired, I will do my best to show other prep cooks at Crossover Kitchen how to create truly tantalizing foods in a way that makes the line cooks' jobs easier.
Sincerely,
Jensen Pope","The Prep Cook position at Crossover Kitchen requires an individual with experience in food preparation and a passion for creating delicious dishes. The ideal candidate will have worked as a prep cook at other restaurants and will be able to work quickly and efficiently while paying attention to detail. They will also have knowledge of food safety and sanitization procedures. Additionally, the candidate should be able to work well within a team and be willing to take on other roles as needed.","Jensen Pope
(111) 789-3456
jensenpope@email.com

EXPERIENCE

Prep Cook, Flagship Feast - San Francisco, CA
August 2016 - Present

- Quickly and efficiently prep food while paying attention to detail
- Adhere to strict food safety and sanitization procedures
- Work well within a team and take on other roles as needed

Dishwasher, Flagship Feast - San Francisco, CA
May 2016 - August 2016

- Washed dishes and utensils

Busboy, Flagship Feast - San Francisco, CA
January 2016 - May 2016

- Cleared and reset tables

EDUCATION

High School Diploma, San Francisco High School - San Francisco, CA

SKILLS

- Passion for creating delicious dishes
- Ability to work quickly and efficiently
- Knowledge of food safety and sanitization procedures
- Willingness to take on other roles as needed"
"Annalise Sinclair
(111) 789-3456
annalise.sinclair@email.com
August 20, 2019
Dear Hiring Manager
I am thrilled to be applying for the Branch Manager position at Crossover Software. Since I am someone who thrives in fast-paced environments that are centered around positive leadership, I am ecstatic about the opportunity to become a part of your multi-national team. I further support a number of causes that I have seen Crossover Software dedicate its time and resources to over the past years. These include constant volunteering efforts, donations to various hospitals in the local markets and campaigns that raise awareness about social injustices.
The vast majority of my thus-far experience revolved around managing mid-size branches in suburban or metropolitan areas. I am very familiar with proper employee supervision strategies that allowed me to keep my worker turnover ratios below 7% in any given three-year period. I additionally attended multiple conferences where I spoke to hundreds of visitors about the proper organization skills over the past 12 months. Doing so helped me polish my public speaking skills and become the leader of large training sessions featuring dozens of new-hired employees.
I am constantly seeking new ways to develop myself and become a better resource for my subordinates. My main priority is empathetic listening that has allowed me to remain within the top 5% of managers for companies such as Flagship Financial and Foundry Marketing. I frequently partake in online courses of continuing education that help me learn the latest trends applicable to my branch and sector. Doing so helps me take proactive moves to ensure that we maintain the same level of demand.
I am grateful for your time and consideration. I look forward to learning the next steps about the application process while I remain delighted at the chance of becoming a Branch Manager for a forward-thinking firm such as Crossover Software.
Sincerely,
Annalise Sinclair","The Branch Manager will be responsible for overseeing the operations of a mid-size branch in a suburban or metropolitan area. The Branch Manager will be responsible for supervising employees, managing the budget, and ensuring that the branch meets all goals and objectives. The Branch Manager will also be responsible for attending conferences and speaking to visitors about the company.","Annalise Sinclair
(111) 789-3456
annalise.sinclair@email.com

OBJECTIVE
To secure a position as a Branch Manager with a forward-thinking firm such as Crossover Software.

EXPERIENCE

Flagship Financial, Branch Manager
Foundry Marketing, Branch Manager

-Managed mid-size branches in suburban or metropolitan areas
-Supervised employees and managed budgets
-Ensured that branches met all goals and objectives
-Attended conferences and spoke to visitors about the company

EDUCATION

B.S. in Business Administration, XYZ University

-Completed coursework in management, budgeting, and employee supervision"
